PID,condition,agent_type,agent_name,local_time,human_areas_initial,agent_areas_initial,human_areas_final,agent_areas_final,changes,final_score,final_completeness,water_time,game_time,human_vics_in_order,vics_human,vics_human_plan,vics_human_not_plan,vics_agent,compliance
PA51,mission_comm,nowill,Argo,1751541073,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'D2']","['B2', 'C1', 'C2', 'D1']",1,80,1.0,18.09042000770569,192.91654801368713,8,8,8,0,8,1.0
PA51,mission_comm,will,Bolt,1751540767,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,74,1.0,0.0,178.0718719959259,6,8,8,0,8,1.0
PA52,mission_nocomm,nowill,Bolt,1751544984,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,41.779088497161865,198.9886326789856,8,8,8,0,8,1.0
PA52,mission_nocomm,will,Argo,1751545358,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,0.0,154.84419703483582,8,8,8,0,8,1.0
PA53,mission_comm,nowill,Bolt,1751551455,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,0.0,174.4851939678192,8,8,8,0,8,1.0
PA53,mission_comm,will,Argo,1751551742,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,0.0,144.77583003044128,8,8,8,0,8,1.0
PA54,mission_nocomm,nowill,Argo,1751475084,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,65.4151680469513,166.7546100616455,9,9,8,1,7,0.8888888888888888
PA54,mission_nocomm,will,Bolt,1751474575,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,16.401818990707397,163.37183785438538,8,8,8,0,8,1.0
PA56,mission_nocomm,nowill,Bolt,1751987862,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,47.90210270881653,157.08166980743408,8,8,8,0,8,1.0
PA56,mission_nocomm,will,Argo,1751987259,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,0.0,189.00119304656985,8,8,8,0,8,1.0
