PID,condition,agent_type,agent_name,local_time,human_areas_initial,agent_areas_initial,human_areas_final,agent_areas_final,changes,final_score,final_completeness,water_time,game_time,human_vics_in_order,vics_human,vics_human_plan,vics_human_not_plan,vics_agent,compliance
PA72,mission_nocomm,nowill,Bolt,1752239760,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,62,1.0,44.157464027404785,148.37335777282715,5,11,8,3,5,0.7272727272727273
PA72,mission_nocomm,will,Argo,1752239440,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,59,1.0,26.26680898666382,173.97851014137268,3,10,8,2,6,0.8
PA73,mission_comm,nowill,Argo,1752245771,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",0,71,1.0,76.53294658660889,190.52258825302124,6,9,8,1,7,0.8888888888888888
PA73,mission_comm,will,Bolt,1752246128,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,74,1.0,13.59618592262268,134.6945559978485,7,9,8,1,7,0.8888888888888888
PA74,mission_nocomm,nowill,Argo,1752587330,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,59.70680832862854,197.34582591056824,9,9,8,1,7,0.8888888888888888
PA74,mission_nocomm,will,Bolt,1752586805,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,53.08318114280701,187.09650039672852,9,9,8,1,7,0.8888888888888888
PA8,mission_nocomm,nowill,Bolt,1749647215,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,77,1.0,47.913323163986206,162.19368386268616,7,8,8,0,8,1.0
PA8,mission_nocomm,will,Argo,1749647552,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,65,1.0,0.0,157.49532294273376,3,8,8,0,8,1.0
PA9,mission_comm,nowill,Bolt,1749657902,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'C1', 'C2']","['B1', 'B2', 'D1', 'D2']",2,77,1.0,57.23651313781738,219.1575338840485,8,9,8,1,7,0.8888888888888888
PA9,mission_comm,will,Argo,1749658261,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,71,1.0,16.14257788658142,150.24172282218933,5,8,8,0,8,1.0
